Cote|Support|Auteur|Actimuse::_Export_Global DMF
M0354_000919-001_1|DV5_M0354_2013_1|MONNIN Jacques|"REF
M0354011600
DOMN
imprimé ; vie sociale - culturelle
INV
000919-1
DENO
menu
TECH
papier (cartonné, typographie, en relief, argenté)
DIMS
l. 8 cm ; H. 16,5 cm
TITR
MENU
PERI
1er quart 20e siècle
MILL
1903 de
ETAT
Etat moyen ; 22/09/2011
INSC
inscription ; date
UTIL
mariage
PUTI
A l’occasion du mariage de G. Galmiche. ; DUBOIS (utilisateur)
PERU
21/04/1903
STAT
propriété du département ; Haute-Saône ; don ; Musée Départemental Albert Demard
DACQ
2000/09/19
APTN
MAES Nicole
LOCA
Champlitte ; Musée Départemental Albert Demard
COMM
Menu de mariage
COPY
© Champlitte ; Musée Départemental Albert Demard, 2009, © Service des Musées de France, 2014
REDA
CROTTET Nicole ; COUTURIER Luisa
//"
M0354_000919-049_001_1|DV5_M0354_2013_1|MONNIN Jacques|"REF
M0354017656
DOMN
imprimé ; vie sociale - culturelle
INV
000919-49-1
DENO
menu
TECH
papier (cartonné, encre noire, doré, en relief   )
DIMS
l. 10,6 cm ; H. 16,5 cm
TITR
MENU
AUTR
anonyme
PERI
1er quart 20e siècle
MILL
1903 de
ETAT
Etat moyen ; 7/10/2011
INSC
inscription ; date
PUTI
DUBOIS (utilisateur)
PERU
1er quart 20e siècle
MILU
20/04/1903 de
STAT
propriété du département ; Haute-Saône ; don ; Musée Départemental Albert Demard
DACQ
2000/09/19
APTN
MAES Nicole
LOCA
Champlitte ; Musée Départemental Albert Demard
COMM
Monsieur et madame Dubois menu de la veille du mariage de Gabrielle Galmiche
COPY
© Champlitte ; Musée Départemental Albert Demard, 2009, © Service des Musées de France, 2014
REDA
CROTTET Nicole ; COUTURIER Luisa ; BARDIAU Jérôme
//"
